"EnsemblID","GeneSymbol","Total_DEG","Total_Up","Total_Dn","RRA_Score_pvalue","padj","Rank","Category","log_p"
"ENSG00000153495.11","TEX29",1,1,0,1,1,7489,"Not_Significant",0
"ENSG00000076641.4","PAG1",1,1,0,1,1,7490,"Not_Significant",0
"ENSG00000132704.16","FCRL2",1,1,0,1,1,7491,"Not_Significant",0
"ENSG00000211597.2","IGKJ1",1,1,0,1,1,7492,"Not_Significant",0
"ENSG00000230010.2","AL049646.1",1,1,0,1,1,7493,"Not_Significant",0
"ENSG00000259712.1","AC023906.5",1,1,0,1,1,7494,"Not_Significant",0
"ENSG00000103313.13","MEFV",1,1,0,1,1,7495,"Not_Significant",0
"ENSG00000137628.17","DDX60",1,1,0,1,1,7496,"Not_Significant",0
"ENSG00000168685.15","IL7R",1,1,0,1,1,7497,"Not_Significant",0
"ENSG00000224875.2","EML4-AS1",1,1,0,1,1,7498,"Not_Significant",0
"ENSG00000152207.7","CYSLTR2",1,1,0,1,1,7499,"Not_Significant",0
"ENSG00000287727.1","AL139423.2",1,1,0,1,1,7500,"Not_Significant",0
"ENSG00000169071.15","ROR2",1,1,0,1,1,7501,"Not_Significant",0
"ENSG00000223060.1","Y_RNA",1,1,0,1,1,7502,"Not_Significant",0
"ENSG00000175040.6","CHST2",1,1,0,1,1,7503,"Not_Significant",0
"ENSG00000287030.1","AC107032.3",1,1,0,1,1,7504,"Not_Significant",0
"ENSG00000145107.16","TM4SF19",1,1,0,1,1,7505,"Not_Significant",0
"ENSG00000288611.1","NPBWR1",1,1,0,1,1,7506,"Not_Significant",0
"ENSG00000237015.1","AL031186.1",1,1,0,1,1,7507,"Not_Significant",0
"ENSG00000257298.1","AC008147.2",1,1,0,1,1,7508,"Not_Significant",0
"ENSG00000197046.12","SIGLEC15",1,1,0,1,1,7509,"Not_Significant",0
"ENSG00000138646.9","HERC5",1,1,0,1,1,7510,"Not_Significant",0
"ENSG00000225101.6","OR52K3P",1,1,0,1,1,7511,"Not_Significant",0
