"BRCA","CHOL","COAD","ESCA","HNSC"
"ENSG00000237940.3","ENSG00000231826.6","ENSG00000164778.4","ENSG00000095752.7","ENSG00000268916.6"
"ENSG00000162989.5","ENSG00000163209.15","ENSG00000243944.5","ENSG00000251095.7","ENSG00000128710.6"
"ENSG00000249082.2","ENSG00000130675.15","ENSG00000164379.7","ENSG00000258815.1","ENSG00000237575.4"
"ENSG00000287900.1","ENSG00000109255.11","ENSG00000263745.7","ENSG00000162892.16","ENSG00000182545.6"
"ENSG00000139352.4","ENSG00000226476.6","ENSG00000231221.1","ENSG00000225127.3","ENSG00000267577.1"
"ENSG00000187475.6","ENSG00000115386.6","ENSG00000104892.17","ENSG00000124731.13","ENSG00000272763.1"
"ENSG00000094796.5","ENSG00000272620.2","ENSG00000136352.19","ENSG00000187608.10","ENSG00000170689.10"
"ENSG00000173335.5","ENSG00000172137.19","ENSG00000230834.1","ENSG00000183914.14","ENSG00000122133.17"
"ENSG00000019505.8","ENSG00000101441.4","ENSG00000248740.6","ENSG00000131015.5","ENSG00000005073.6"
"ENSG00000163993.7","ENSG00000249550.7","ENSG00000229404.6","ENSG00000283876.1","ENSG00000122641.11"
"ENSG00000231324.1","ENSG00000180861.9","ENSG00000261650.1","ENSG00000124875.10","ENSG00000257900.2"
"ENSG00000108576.10","ENSG00000161798.7","ENSG00000170835.16","ENSG00000151224.13","ENSG00000139219.19"
"ENSG00000060718.22","ENSG00000284727.1","ENSG00000213468.7","ENSG00000231550.1","ENSG00000110203.9"
"ENSG00000188133.6","ENSG00000231324.1","ENSG00000162006.9","ENSG00000253706.5","ENSG00000257042.1"
"ENSG00000124493.14","ENSG00000157851.17","ENSG00000171060.11","ENSG00000287929.1","ENSG00000228509.6"
"ENSG00000286293.1","ENSG00000258910.3","ENSG00000259471.1","ENSG00000166670.10","ENSG00000286042.1"
"ENSG00000249231.8","ENSG00000183317.17","ENSG00000272620.2","ENSG00000278594.1","ENSG00000043355.12"
"ENSG00000084628.10","ENSG00000237289.10","ENSG00000166396.13","ENSG00000164761.9","ENSG00000128714.6"
"ENSG00000108417.4","ENSG00000198758.11","ENSG00000177238.14","ENSG00000198734.12","ENSG00000180818.5"
"ENSG00000083782.8","ENSG00000149948.14","ENSG00000280623.1","ENSG00000213281.5","ENSG00000134438.10"
"ENSG00000277224.2","ENSG00000283142.1","ENSG00000112761.21","ENSG00000118785.14","ENSG00000148704.13"
"ENSG00000124657.1","ENSG00000142619.4","ENSG00000043355.12","ENSG00000123500.10","ENSG00000248458.2"
"ENSG00000071909.19","ENSG00000186493.13","ENSG00000142619.4","ENSG00000231431.7","ENSG00000162892.16"
"ENSG00000135346.9","ENSG00000105048.17","ENSG00000237412.7","ENSG00000164651.17","ENSG00000244675.2"
"ENSG00000224715.1","ENSG00000228714.4","ENSG00000250641.1","ENSG00000148704.13","ENSG00000249395.4"
"ENSG00000166959.8","ENSG00000253227.2","ENSG00000171759.10","ENSG00000169174.11","ENSG00000164744.13"
"ENSG00000253931.1","ENSG00000287853.1","ENSG00000267073.1","ENSG00000149927.18","ENSG00000258732.1"
"ENSG00000282988.2","ENSG00000249628.3","ENSG00000228437.5","ENSG00000268104.3","ENSG00000244215.2"
"ENSG00000138684.9","ENSG00000160716.6","ENSG00000281591.1","ENSG00000287064.1","ENSG00000163518.11"
"ENSG00000170419.11","ENSG00000128422.17","ENSG00000278909.1","ENSG00000261327.5","ENSG00000282122.1"
"ENSG00000218357.3","ENSG00000185640.6","ENSG00000107159.13","ENSG00000123496.8","ENSG00000203446.2"
"ENSG00000232679.2","ENSG00000165309.14","ENSG00000204869.8","ENSG00000261949.6","ENSG00000273129.1"
"ENSG00000265112.1","ENSG00000284309.1","ENSG00000270372.1","ENSG00000287591.1","ENSG00000286878.1"
"ENSG00000154252.12","ENSG00000205057.6","ENSG00000231172.2","ENSG00000129991.13","ENSG00000083782.8"
"ENSG00000230916.2","ENSG00000155269.12","ENSG00000226532.1","ENSG00000254349.6","ENSG00000222032.1"
"ENSG00000225208.1","ENSG00000143217.9","ENSG00000171102.14","ENSG00000225548.7","ENSG00000174792.11"
"ENSG00000217275.2","ENSG00000143001.5","ENSG00000259485.2","ENSG00000249550.7","ENSG00000236841.8"
"ENSG00000117598.13","ENSG00000180806.5","ENSG00000249942.1","ENSG00000187730.9","ENSG00000179546.4"
