"","TCGA-3X-AAV9-01A","TCGA-4G-AAZT-01A","TCGA-W5-AA2G-01A","TCGA-W5-AA2O-01A","TCGA-W5-AA30-01A","TCGA-W5-AA33-01A","TCGA-W6-AA0S-01A","TCGA-ZH-A8Y2-01A","TCGA-ZH-A8Y6-01A","TCGA-ZU-A8S4-01A","TCGA-W5-AA2I-11A","TCGA-W5-AA2Q-11A","TCGA-W5-AA2R-11A","TCGA-W5-AA2U-11A","TCGA-W5-AA2X-11A","TCGA-W5-AA30-11A","TCGA-W5-AA31-11A","TCGA-W5-AA34-11A","TCGA-ZU-A8S4-11A"
"ENSG00000005059.16","693","212","411","797","290","352","1200","411","1227","2073","34","77","62","39","81","92","51","39","64"
"ENSG00000005073.6","153","1","0","4","13","3","3","1","0","1","0","1","0","0","1","0","0","0","0"
"ENSG00000005075.15","1336","4007","1569","2479","1492","984","1762","1784","1556","1767","1125","784","820","926","809","845","795","1084","821"
"ENSG00000005100.13","763","527","683","702","1807","1559","747","1892","1694","1092","415","281","475","316","427","363","604","780","343"
"ENSG00000005102.14","588","72","46","20","120","81","78","57","11","11","8","10","2","2","12","10","11","4","2"
"ENSG00000005108.16","649","69","552","93","295","222","72","205","1707","242","107","90","163","109","170","116","113","107","120"
"ENSG00000005156.12","694","521","770","1586","1677","1394","1177","1173","1669","1233","258","294","440","381","403","314","451","444","390"
"ENSG00000005175.10","1463","630","638","1087","1177","1026","999","917","1769","1333","339","297","633","375","380","382","517","671","410"
"ENSG00000005187.12","496","398","1034","753","1051","1881","15457","521","737","413","3133","1135","2538","2336","2196","1895","4448","3225","3053"
"ENSG00000005189.20","92","94","186","241","247","143","458","106","273","223","70","63","57","61","49","52","68","116","46"
"ENSG00000005194.15","2010","2262","2189","2796","2177","1818","3279","2574","2557","2210","746","466","655","499","644","561","721","764","545"
"ENSG00000005206.17","2038","4973","1301","4749","3791","3273","2842","2928","2348","1684","989","651","604","679","1128","790","875","942","660"
"ENSG00000005238.20","1270","1005","703","1762","846","872","1109","472","965","4020","269","341","361","204","352","223","281","245","297"
"ENSG00000005243.10","532","355","304","185","235","443","649","72","396","1046","747","611","622","652","516","683","684","666","677"
"ENSG00000005249.13","456","144","469","43","132","247","109","91","495","873","91","137","107","148","140","151","127","134","192"
"ENSG00000005302.19","1475","654","815","872","1782","1388","813","1154","1414","1951","385","327","445","319","460","397","375","498","317"
"ENSG00000005339.15","4318","2578","3859","2868","4869","8373","3444","5477","9093","2546","1505","1317","2056","2079","1870","1713","2131","2607","1782"
"ENSG00000005379.17","1058","1000","344","132","3163","2361","288","888","696","622","211","213","226","214","451","227","175","186","166"
"ENSG00000005381.8","46","4","15","1","8","128","2","1","15","7","13","26","3","3","9","11","19","4","15"
