"","TCGA-3X-AAV9-01A","TCGA-4G-AAZT-01A","TCGA-W5-AA2G-01A","TCGA-W5-AA2O-01A","TCGA-W5-AA30-01A","TCGA-W5-AA33-01A","TCGA-W6-AA0S-01A","TCGA-ZH-A8Y2-01A","TCGA-ZH-A8Y6-01A","TCGA-ZU-A8S4-01A","TCGA-W5-AA2I-11A","TCGA-W5-AA2Q-11A","TCGA-W5-AA2R-11A","TCGA-W5-AA2U-11A","TCGA-W5-AA2X-11A","TCGA-W5-AA30-11A","TCGA-W5-AA31-11A","TCGA-W5-AA34-11A","TCGA-ZU-A8S4-11A"
"ENSG00000231436.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231437.3","18","106","21","7","28","17","2","133","119","11","33","27","40","25","12","30","14","28","34"
"ENSG00000231439.4","9","0","3","4","25","13","2","0","1","1","0","0","0","0","0","3","0","0","0"
"ENSG00000231440.1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0"
"ENSG00000231441.2","4","1","7","0","1","0","1","1","1","2","0","1","2","1","4","0","0","1","2"
"ENSG00000231442.3","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231443.2","14","3","13","35","18","12","18","17","32","7","1","2","1","3","5","2","1","2","2"
"ENSG00000231445.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231447.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231449.1","1","3","0","0","0","2","1","1","4","2","1","0","0","0","2","0","0","0","0"
"ENSG00000231453.1","3","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"ENSG00000231454.2","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"ENSG00000231458.2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000231460.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231461.1","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"ENSG00000231464.1","7","1","3","4","5","4","5","7","9","0","0","1","1","0","1","0","0","0","2"
"ENSG00000231466.2","8","0","5","22","33","9","2","7","21","1","8","2","0","1","9","3","4","4","2"
"ENSG00000231467.2","0","0","6","2","32","10","0","2","37","0","15","2","4","1","9","6","25","31","5"
"ENSG00000231468.2","0","0","0","1","3","2","1","1","4","0","0","0","0","1","2","0","0","2","0"
"ENSG00000231470.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231471.1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231473.3","3","10","3","4","4","9","2","3","1","1","9","3","6","9","3","9","6","15","7"
"ENSG00000231475.3","1768","19","43","4","2904","315","30","9","0","37","19","22","104","44","31","137","50","9","42"
"ENSG00000231476.1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"ENSG00000231477.2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231478.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231480.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231482.3","1","0","0","0","1","0","1","1","3","1","0","1","0","0","1","1","1","0","0"
"ENSG00000231484.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231487.1","0","0","5","5","0","2","0","0","0","0","39","11","45","17","32","17","25","33","13"
"ENSG00000231489.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231490.1","0","0","0","0","0","1","0","0","3","0","0","0","1","0","0","0","0","0","0"
"ENSG00000231491.2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"ENSG00000231492.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231494.1","2","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","1"
"ENSG00000231495.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231496.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231500.7","40318","109995","60659","92269","50407","49924","62252","66467","27633","41448","14770","14126","18254","26705","13269","21573","13642","18536","10931"
"ENSG00000231501.1","0","0","0","0","0","1","2","4","0","0","5","0","1","0","0","0","1","0","1"
"ENSG00000231503.4","25","14","11","15","22","11","12","19","31","16","2","7","5","4","8","4","4","2","7"
"ENSG00000231504.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231505.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231507.2","4","6","0","3","23","7","1","6","6","2","3","0","2","0","1","6","4","0","1"
"ENSG00000231508.1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231509.1","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231510.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231512.6","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"ENSG00000231513.3","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"ENSG00000231514.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231515.1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"ENSG00000231516.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231519.1","2","0","2","5","6","5","7","5","0","1","1","0","0","0","1","0","2","0","0"
"ENSG00000231521.1","0","0","1","0","5","4","3","4","6","0","0","0","1","0","2","0","0","1","0"
"ENSG00000231523.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231525.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231527.7","27","44","11","23","4","54","15","9","19","60","2","7","1","7","6","3","3","4","2"
"ENSG00000231528.3","12","4","11","0","8","8","6","2","40","224","3","7","1","4","5","4","2","6","7"
"ENSG00000231529.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231530.1","13","1","24","14","0","0","40","29","8","10","0","3","1","1","2","4","2","1","1"
"ENSG00000231531.5","0","0","0","0","2","0","0","1","0","1","0","0","0","0","0","1","0","0","1"
"ENSG00000231532.6","0","0","0","0","6","0","0","593","1","0","0","1","0","0","0","0","0","0","0"
"ENSG00000231533.2","2","0","0","6","8","39","13","17","1","3","0","0","0","1","0","2","1","0","0"
"ENSG00000231534.1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231535.7","11","10","0","30","60","16","0","0","0","10","15","6","0","0","7","13","16","0","7"
"ENSG00000231536.1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231537.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231538.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231539.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231540.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231541.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231542.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231544.3","0","1","1","0","0","3","0","1","0","0","2","0","0","0","0","0","0","0","0"
"ENSG00000231546.1","0","0","0","2","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0"
"ENSG00000231547.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231548.2","0","0","0","0","1","2","0","5","1","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231549.1","0","0","3","0","0","0","3","0","1","0","0","0","2","0","0","0","1","1","0"
"ENSG00000231550.1","1","0","0","0","1","1","0","1","12","1","1","3","2","1","2","3","9","0","3"
"ENSG00000231551.8","61","44","52","108","86","89","92","145","31","34","18","19","14","18","36","13","15","17","20"
"ENSG00000231552.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231553.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231556.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231557.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231559.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231560.1","1","0","3","1","2","4","1","3","0","7","1","2","1","0","0","2","0","0","2"
"ENSG00000231561.2","1","0","0","2","2","0","0","0","18","1","0","0","0","0","0","0","0","0","0"
"ENSG00000231562.1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231563.2","18","23","7","2","136","19","14","45","1","7","1","0","0","1","1","1","0","3","2"
"ENSG00000231564.1","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0"
"ENSG00000231565.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231566.2","6","0","4","11","6","4","3","13","1","9","0","0","2","0","1","0","2","0","0"
"ENSG00000231567.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231568.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231569.1","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231570.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231574.6","48","21","115","91","40","94","973","3","2","42","128","40","1997","200","78","142","116","583","26"
"ENSG00000231575.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231576.1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0"
"ENSG00000231579.3","1","2","9","1","1","0","0","1","1","0","1","0","0","3","0","1","1","2","1"
"ENSG00000231582.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231583.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231584.8","131","104","179","193","107","154","190","259","84","58","46","29","19","28","31","41","24","43","23"
"ENSG00000231585.1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231586.2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"ENSG00000231587.1","5","0","2","1","17","10","10","4","6","2","2","3","3","0","0","1","2","1","1"
"ENSG00000231588.1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0"
"ENSG00000231589.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231590.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231593.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231597.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231600.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231601.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231603.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231604.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231605.6","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"ENSG00000231606.2","2","0","0","1","0","0","0","1","3","0","0","1","0","0","1","0","0","0","0"
"ENSG00000231607.12","48","40","116","135","154","107","68","114","144","81","50","36","57","43","93","34","68","59","22"
"ENSG00000231609.7","32","2","13","21","62","55","26","22","42","8","27","17","16","22","42","19","27","26","6"
"ENSG00000231610.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231612.1","2","0","0","0","11","0","4","0","0","3","0","0","0","1","0","0","0","0","0"
"ENSG00000231613.1","4","3","0","0","1","2","2","4","0","8","2","1","0","1","1","0","0","0","0"
"ENSG00000231615.2","0","0","0","1","4","2","0","1","2","2","1","3","1","0","2","2","0","1","1"
"ENSG00000231616.9","1","0","1","0","8","1","5","5","3","1","0","0","1","0","3","2","1","3","0"
"ENSG00000231619.1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"ENSG00000231620.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231621.1","18","11","0","0","3","5","2","1","0","3","0","0","1","0","2","1","0","1","0"
"ENSG00000231622.1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2"
"ENSG00000231625.4","3","5","10","25","82","29","3","20","8","0","9","3","3","8","34","3","11","9","0"
"ENSG00000231626.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231628.1","15","1","8","7","19","20","11","9","36","12","10","3","3","5","11","4","10","10","4"
"ENSG00000231630.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231633.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231635.1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231636.1","3","2","3","3","2","3","10","1","2","0","0","1","0","2","2","3","4","2","1"
"ENSG00000231637.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231638.1","2","2","0","0","1","3","3","0","1","1","1","0","1","1","0","3","5","3","0"
"ENSG00000231643.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231645.3","1","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231646.6","5","0","0","1","11","7","5","72","2","0","4","0","0","4","4","3","2","0","0"
"ENSG00000231648.2","1","0","0","0","0","0","0","0","0","39","0","0","0","0","0","0","0","0","0"
"ENSG00000231649.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231650.1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"ENSG00000231651.1","0","0","1","2","2","5","0","3","1","2","0","0","0","0","0","0","0","0","0"
"ENSG00000231652.2","7","0","1","0","3","2","0","4","10","18","0","1","0","0","1","2","0","1","0"
"ENSG00000231653.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231654.1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231655.1","1","0","1","1","3","1","2","0","1","0","0","1","1","0","0","0","0","0","0"
"ENSG00000231660.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231662.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231663.1","37","219","22","76","88","39","45","72","58","23","29","30","10","41","29","16","15","27","10"
"ENSG00000231665.1","0","0","0","2","5","2","1","2","0","1","0","0","1","1","2","0","2","0","2"
"ENSG00000231666.7","2","10","0","1","9","3","2","1","4","2","0","0","1","2","1","2","2","0","0"
"ENSG00000231667.2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231668.2","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231671.1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"ENSG00000231672.8","5","11","4","3","11","7","12","36","15","118","1","4","3","1","6","2","1","1","3"
"ENSG00000231674.1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231675.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231678.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231680.1","6","5","8","1","5","3","0","2","2","0","4","10","1","4","3","6","2","3","1"
"ENSG00000231681.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231682.1","3","0","0","1","3","3","1","2","0","0","1","0","0","0","2","0","0","1","0"
"ENSG00000231683.6","3","31","93","9","307","234","0","368","4","12","95","31","74","44","46","64","161","54","23"
"ENSG00000231684.3","1","3","2","2","1","4","3","5","5","5","0","2","2","1","2","2","2","1","0"
"ENSG00000231686.1","0","1","1","2","1","3","0","3","0","1","0","0","0","0","3","0","0","0","0"
"ENSG00000231688.1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"ENSG00000231689.2","0","2","4","2","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231690.3","2","0","12","44","16","60","10","2","140","2","54","15","42","25","71","21","47","50","48"
"ENSG00000231691.2","1","0","0","0","3","1","0","0","0","0","1","1","0","0","0","0","0","1","0"
"ENSG00000231694.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231697.3","0","0","0","0","1","0","0","0","1","0","2","0","0","0","1","0","0","0","1"
"ENSG00000231698.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231699.1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"ENSG00000231700.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231701.1","0","0","0","0","3","0","0","0","0","3","0","0","0","1","1","1","0","0","0"
"ENSG00000231702.2","0","0","0","2","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0"
"ENSG00000231703.2","7","46","1","0","0","7","0","9","12","3","3","1","1","1","2","0","0","0","0"
"ENSG00000231704.6","2","0","1","7","5","7","2","4","7","0","5","1","0","2","5","1","2","1","2"
"ENSG00000231705.1","5","27","1","0","2","2","3","1","6","0","0","0","0","0","1","1","0","0","0"
"ENSG00000231706.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231707.4","0","0","0","0","2","0","2","0","2","1","0","0","0","0","0","0","0","0","1"
"ENSG00000231711.2","171","60","35","261","273","240","70","167","71","172","56","37","25","58","44","75","43","63","25"
"ENSG00000231712.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231713.2","6","10","0","0","26","24","0","37","2","3","2","0","3","0","3","4","0","0","3"
"ENSG00000231714.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231715.1","0","0","0","7","3","3","0","8","1","0","2","0","0","0","0","0","0","0","0"
"ENSG00000231716.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231718.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231720.1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"ENSG00000231721.7","214","193","177","465","189","137","272","184","233","128","37","67","53","208","132","73","51","51","158"
"ENSG00000231722.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231723.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231724.1","0","1","1","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231725.1","1","4","0","2","4","0","0","2","0","0","0","0","0","0","0","0","0","0","1"
"ENSG00000231726.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231728.5","27","31","3","5","14","6","2","4","12","4","0","2","0","1","0","1","3","0","1"
"ENSG00000231729.1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"ENSG00000231731.7","57","0","39","50","106","85","19","86","39","11","29","14","22","28","31","21","19","21","16"
"ENSG00000231735.1","0","0","0","1","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231738.11","4","4","3","3","0","4","3","0","0","17","0","0","0","0","0","0","0","0","0"
"ENSG00000231739.2","0","0","1","0","1","1","0","9","3","1","0","0","0","0","0","0","0","0","0"
"ENSG00000231740.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231741.2","2","0","0","0","10","0","5","7","6","1","2","0","0","2","5","2","0","2","0"
"ENSG00000231742.6","22","25","1","54","24","32","54","27","32","9","19","9","24","38","19","15","18","23","6"
"ENSG00000231743.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231744.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"ENSG00000231747.1","92","221","36","74","42","24","96","43","22","67","30","22","11","20","14","34","10","35","18"
"ENSG00000231748.1","5","0","7","5","9","11","3","9","0","1","0","0","0","0","0","0","0","1","0"
"ENSG00000231749.3","0","0","0","0","2","1","0","2","0","0","0","0","0","1","3","4","1","1","3"
"ENSG00000231750.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231752.6","51","12","103","64","55","36","145","503","6","43","182","98","120","154","105","257","264","246","88"
"ENSG00000231754.2","1","9","0","0","0","4","0","0","0","1","0","0","0","0","1","0","0","1","0"
"ENSG00000231755.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231756.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000231758.3","2","0","0","0","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0"
"ENSG00000231760.5","9","0","2","2","6","16","6","18","16","3","10","6","5","2","21","4","6","6","2"
"ENSG00000231762.1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"ENSG00000231763.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231764.10","63","10","68","8","14","0","2","0","4","0","0","0","2","0","2","2","0","0","2"
"ENSG00000231765.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231766.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231767.4","5","4","1","9","5","5","5","2","1","2","5","3","3","1","0","0","2","3","0"
"ENSG00000231768.2","32","7","3","1","11","10","3","6","4","2","11","6","11","12","9","11","21","19","34"
"ENSG00000231769.3","7","2","3","12","13","1","0","6","1","4","3","1","5","5","1","5","1","8","2"
"ENSG00000231770.6","212","530","146","210","288","172","246","306","136","127","163","123","112","302","121","106","140","145","62"
"ENSG00000231772.5","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231776.5","0","0","0","0","0","0","0","61","0","19","0","0","0","0","0","0","0","0","0"
"ENSG00000231777.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0"
"ENSG00000231780.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231781.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231782.7","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231784.8","9","19","9","3","17","5","7","31","21","21","3","4","2","4","5","2","1","2","1"
"ENSG00000231787.4","1","1","0","2","2","1","1","0","1","0","0","1","0","0","0","0","0","0","0"
"ENSG00000231788.4","0","0","0","1","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231789.2","55","63","18","10","13","15","10","83","289","38","5","6","3","11","7","6","3","2","7"
"ENSG00000231791.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231793.5","22","42","27","27","146","61","29","45","19","47","15","15","11","9","10","11","7","16","11"
"ENSG00000231794.5","2","1","1","3","5","9","27","18","5","0","2","0","0","1","1","0","0","1","0"
"ENSG00000231795.1","1","0","0","0","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0"
"ENSG00000231799.2","3","2","4","1","3","0","1","2","2","5","0","0","1","0","0","1","1","2","0"
"ENSG00000231801.2","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231802.1","1","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"ENSG00000231804.1","2","0","1","0","4","0","0","0","0","1","2","0","1","0","0","0","1","0","0"
"ENSG00000231806.3","76","19","13","8","7","306","5","20","9","5","97","54","111","71","80","66","103","96","86"
"ENSG00000231808.2","0","0","0","0","3","4","1","0","1","0","0","2","0","1","0","1","0","0","0"
"ENSG00000231809.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231810.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231811.3","1","0","0","0","0","3","0","0","7","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231812.1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"ENSG00000231814.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231815.2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231817.9","2","0","0","0","0","0","1","10","0","3","0","0","0","1","0","0","0","0","0"
"ENSG00000231821.1","0","0","2","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"ENSG00000231822.1","3","2","6","5","5","21","5","10","24","1","3","1","0","2","0","1","3","5","0"
"ENSG00000231824.4","2","1","2","0","2","1","0","0","5","1","10","11","8","2","3","5","4","11","11"
"ENSG00000231826.6","3657","4","1","3","7","9","2","20","1249","1","1","3","1","0","1","1","1","0","0"
"ENSG00000231827.3","6","0","0","5","8","14","4","3","5","0","1","2","1","2","0","2","0","2","0"
"ENSG00000231829.4","0","4","2","0","4","11","1","13","1","0","0","0","1","0","1","1","0","0","0"
"ENSG00000231830.1","0","0","1","0","1","0","2","0","2","0","0","0","0","2","3","0","0","2","0"
"ENSG00000231831.1","11","1","5","3","6","5","2","3","23","3","2","0","8","7","8","4","5","3","4"
"ENSG00000231837.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231839.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231840.2","1","1","0","5","3","2","4","2","1","1","0","0","0","0","0","0","0","0","0"
"ENSG00000231841.1","1","0","0","4","1","4","10","2","1","1","0","0","1","0","0","1","0","0","0"
"ENSG00000231845.3","0","0","1","0","1","0","3","0","2","0","1","0","0","0","0","0","2","0","0"
"ENSG00000231846.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000231848.1","2","0","0","0","1","0","1","0","0","0","1","0","1","0","0","2","0","0","0"
"ENSG00000231849.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
