"","TCGA-2H-A9GJ-01A","TCGA-IG-A5B8-01A","TCGA-JY-A6FB-01A","TCGA-KH-A6WC-01A","TCGA-L5-A4OG-01A","TCGA-L5-A4OH-01A","TCGA-L5-A4OM-01A","TCGA-L5-A88S-01A","TCGA-L5-A893-01A","TCGA-V5-A7RE-01A","TCGA-IC-A6RE-11A","TCGA-IC-A6RF-11A","TCGA-L5-A43C-11A","TCGA-L5-A4OF-11A","TCGA-L5-A4OG-11A","TCGA-L5-A4OJ-11A","TCGA-L5-A4OO-11A","TCGA-L5-A4OQ-11A","TCGA-L5-A4OR-11A","TCGA-V5-A7RE-11A","TCGA-V5-AASX-11A"
"ENSG00000278197.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278200.1","0","20","0","1","1","4","3","0","0","2","0","0","2","0","7","0","0","0","1","1","1"
"ENSG00000278202.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278204.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278205.1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1"
"ENSG00000278206.1","44","17","56","10","87","90","45","15","30","55","4","8","24","28","43","35","30","58","18","88","53"
"ENSG00000278212.2","38","15","15","16","30","54","57","47","13","2","81","26","19","44","22","18","50","85","48","11","34"
"ENSG00000278213.1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0"
"ENSG00000278214.1","11","1","2","1","1","1","0","0","5","1","0","0","0","0","4","6","2","4","0","2","0"
"ENSG00000278215.1","1","1","0","2","4","4","1","1","0","1","0","0","0","2","0","0","1","3","0","7","0"
"ENSG00000278217.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278218.1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0"
"ENSG00000278221.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278222.1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278223.1","2","2","1","0","9","16","8","0","5","8","0","0","0","1","0","0","0","0","0","4","0"
