"","TCGA-2H-A9GJ-01A","TCGA-IG-A5B8-01A","TCGA-JY-A6FB-01A","TCGA-KH-A6WC-01A","TCGA-L5-A4OG-01A","TCGA-L5-A4OH-01A","TCGA-L5-A4OM-01A","TCGA-L5-A88S-01A","TCGA-L5-A893-01A","TCGA-V5-A7RE-01A","TCGA-IC-A6RE-11A","TCGA-IC-A6RF-11A","TCGA-L5-A43C-11A","TCGA-L5-A4OF-11A","TCGA-L5-A4OG-11A","TCGA-L5-A4OJ-11A","TCGA-L5-A4OO-11A","TCGA-L5-A4OQ-11A","TCGA-L5-A4OR-11A","TCGA-V5-A7RE-11A","TCGA-V5-AASX-11A"
"ENSG00000166349.10","595","197","99","51","47","193","1524","99","134","244","16","11","32","146","109","156","83","90","69","154","626"
"ENSG00000166351.10","0","0","0","1","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","5","0"
"ENSG00000166352.17","409","355","258","254","317","675","266","281","396","309","148","100","230","278","318","403","460","842","276","347","508"
"ENSG00000166359.11","131","26","62","26","74","178","86","13","69","40","16","24","31","15","54","78","65","67","21","102","125"
"ENSG00000166363.5","0","1","0","3","6","3","5","1","2","0","1","3","0","0","1","0","0","1","0","10","3"
"ENSG00000166368.2","0","0","0","1","1","3","7","1","1","0","0","0","0","0","0","1","0","0","0","0","1"
"ENSG00000166377.20","2448","700","2592","1994","1376","2640","2887","1015","2178","1107","1565","1717","911","1595","1885","1655","1678","3390","959","1195","3430"
"ENSG00000166387.13","2972","1502","7439","6246","3831","5479","4755","675","5030","3660","5387","2856","3751","3612","6735","5197","2293","970","3638","3957","9005"
"ENSG00000166391.15","615","13","430","3","13","1336","3","0","1626","123","32","7","27","73","99","10","20","8","15","2680","1026"
"ENSG00000166394.15","536","471","1723","1227","3004","1824","2412","525","601","951","1019","4455","132","238","364","273","138","175","132","432","69"
"ENSG00000166396.13","1044","824","2","1159","151","115","4359","348","1390","154","465","299","8","3","28","10","0","2","31","313","117"
"ENSG00000166398.14","3474","1671","2644","4159","4383","6285","3473","1710","2539","2337","2447","1020","755","1494","2525","2006","2705","7782","1037","1588","3047"
"ENSG00000166401.15","2689","3639","1041","3021","2559","1642","3442","926","2243","845","1675","6273","216","806","632","249","495","2627","312","671","1679"
"ENSG00000166402.9","196","23","23","239","59","56","2251","557","140","6","151","120","163","198","466","746","1019","2954","127","66","6"
"ENSG00000166405.15","6","7","2","275","42","15","310","169","128","0","184","69","268","172","449","566","646","1263","141","98","8"
"ENSG00000166407.14","11","43","2","9","2","20","16","8","4","0","5","1","1","1","2","2","7","118","0","27","0"
"ENSG00000166408.4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","1","0","1","0","21","0"
"ENSG00000166411.14","1514","1032","4131","1483","2938","1960","2127","990","2287","1370","900","1685","342","773","644","624","1055","2066","445","1455","1110"
"ENSG00000166415.15","8379","960","6269","280","222","2293","10032","1209","3451","47","197","96","173","1090","375","374","100","13","141","221","424"
"ENSG00000166426.8","24","21","119","4","82","4","311","5","3","14","2","1","11","8","43","58","207","59","11","21","0"
"ENSG00000166428.14","22","15","197","185","61","66","109","41","546","12","288","7","32","11","135","33","30","24","36","97","18"
"ENSG00000166432.15","48","13","25","148","104","80","475","225","500","17","115","52","577","650","1016","1760","1200","1578","515","191","589"
"ENSG00000166435.15","1350","564","660","489","583","1948","472","244","726","1311","385","325","527","287","401","797","782","623","815","995","1963"
"ENSG00000166436.16","1225","500","1646","1357","1452","3470","3614","547","1493","1059","769","992","524","1131","1772","2090","1329","1780","523","1999","3165"
"ENSG00000166439.6","1927","1531","2337","6939","4067","4683","3285","1077","2189","1306","3721","1004","574","974","1306","1143","1402","3306","624","1488","3160"
"ENSG00000166441.13","43048","43920","38473","34578","40874","53298","28874","22578","41357","39418","37729","36035","16535","13842","15648","17573","19987","31103","13726","40154","43936"
"ENSG00000166444.19","2871","2865","6034","6389","5822","2202","7368","5227","4813","2031","4587","3747","2910","5677","7222","6500","6577","15413","4387","5091","9352"
"ENSG00000166446.15","259","174","732","367","1038","309","335","421","460","183","303","244","550","960","1080","1075","811","1173","693","284","104"
"ENSG00000166448.15","5","18","8","10","23","43","1092","27","29","6","10","5","41","42","196","74","468","316","12","165","9"
"ENSG00000166450.13","48","16","115","36","64","464","376","83","91","428","12","8","46","164","126","207","89","254","68","552","20"
"ENSG00000166451.13","1083","1042","1827","359","1424","1496","1717","571","686","1526","261","281","168","535","193","253","207","381","111","604","852"
"ENSG00000166452.12","363","1294","974","787","878","1699","808","590","823","475","429","304","187","357","323","345","374","909","218","351","587"
"ENSG00000166454.10","4416","9667","4807","8595","7261","7741","6660","3173","4516","4633","5249","4360","2083","2582","3073","3293","3000","6361","2220","3292","6320"
"ENSG00000166455.14","0","7","2","1","4","2","5","0","0","1","1","0","0","1","2","5","1","3","0","14","3"
"ENSG00000166471.11","3674","4226","2008","2503","3650","14069","4017","724","2487","3655","903","1405","1257","1752","2270","2257","1052","1613","1571","2857","3972"
"ENSG00000166473.17","17","9","7","19","18","11","39","9","34","25","11","6","14","33","200","28","212","249","13","637","11"
"ENSG00000166477.13","2751","2026","2503","1848","2140","1619","1890","828","1893","1874","1148","1884","373","875","891","630","511","1400","474","1924","2990"
"ENSG00000166478.10","1193","1858","1242","1117","2231","1958","1563","572","1320","1529","754","831","401","600","586","525","652","1627","498","1129","1000"
"ENSG00000166479.10","3874","1873","4083","2450","3771","4137","6453","2237","2744","3102","1190","2044","1105","2247","2527","2252","2195","7222","1295","1766","4330"
"ENSG00000166482.12","1516","251","1213","956","938","2273","4762","13363","7634","273","2017","3105","2937","4472","9693","5962","19561","92775","2275","860","1147"
"ENSG00000166483.11","8950","2120","5258","3907","7654","17560","17972","1649","8465","2753","4872","4610","1114","2984","2520","2872","3765","4794","1553","2051","4609"
"ENSG00000166484.20","2658","1470","1636","4165","1719","3294","3164","2052","2743","1229","3452","2445","377","896","1005","713","1406","3413","464","1031","855"
"ENSG00000166492.9","19","5","11","8","15","26","15","20","19","7","5","27","35","31","75","7","25","83","4","18","11"
"ENSG00000166501.14","112","188","121","328","1474","347","230","208","2714","111","1003","280","338","130","959","408","992","2737","275","750","143"
"ENSG00000166503.9","2082","3026","487","1505","763","419","4787","2458","783","147","769","2178","507","896","1060","1131","2884","7090","513","270","149"
"ENSG00000166507.19","34","33","27","39","32","60","43","5","34","13","25","9","8","6","20","27","20","60","16","34","15"
"ENSG00000166508.18","4874","5197","14809","2939","14315","20261","34879","2648","12613","21357","2007","2890","788","3006","1449","2091","1416","2807","1036","3320","3726"
"ENSG00000166509.12","1","0","0","1","0","0","0","0","2","0","5","0","0","0","4","0","20","106","0","28","1"
"ENSG00000166510.14","1352","325","4335","194","2108","3539","272","149","4196","2103","49","41","470","1790","1226","947","621","587","717","2141","2657"
"ENSG00000166523.8","13","29","31","27","493","32","48","120","144","15","7","20","26","30","54","38","38","277","30","55","7"
"ENSG00000166526.18","1620","674","2394","1363","5809","6356","5175","962","2988","2615","1075","1123","905","1082","1479","1332","1113","2185","853","1404","1529"
"ENSG00000166527.8","0","5","0","4","62","3","12","8","5","1","1","3","1","7","5","0","4","65","3","15","3"
"ENSG00000166529.15","194","66","299","105","291","744","557","136","292","367","89","121","137","108","219","224","205","371","94","170","126"
"ENSG00000166530.8","1","3","2","1","3","1","0","2","1","0","3","4","1","2","1","0","0","0","0","21","2"
"ENSG00000166532.16","438","294","186","822","848","516","3067","848","349","74","379","453","288","664","1025","1080","1587","3776","331","398","78"
"ENSG00000166535.20","6","6043","36","234662","20013","98","29276","1774","45445","14","151776","53750","5","30","22","2067","22","38","241","404","13"
"ENSG00000166546.14","12","240","20","373","300","18","138","122","101","18","213","8","17","35","84","113","93","368","29","170","18"
"ENSG00000166548.17","743","775","974","670","1476","1068","777","858","997","726","564","365","602","712","1070","827","901","1880","595","895","1544"
"ENSG00000166557.14","7751","9745","12114","9300","6199","5505","3547","4749","7842","7633","10368","5048","3800","3700","4151","4518","2183","2619","4233","4774","14871"
"ENSG00000166558.11","2","2","0","1","5","2","0","1","2","9","0","7","0","0","0","1","0","1","1","29","0"
"ENSG00000166562.9","2086","1254","2445","1026","2502","2861","1169","1260","3848","1399","661","604","2205","1411","2841","2076","1280","1104","1893","1053","2570"
"ENSG00000166569.8","0","0","1","0","0","1","0","1","0","0","0","0","0","1","3","0","0","0","1","6","6"
"ENSG00000166573.6","2","1","10","1","1","1","0","30","8","1","0","2","16","31","33","51","228","200","24","51","0"
"ENSG00000166575.17","2078","1383","2076","644","3753","4930","1226","637","1852","2292","378","327","548","747","1197","938","992","2010","678","1599","3976"
"ENSG00000166578.10","109","21","82","193","34","57","87","20","147","94","35","66","3","11","11","37","16","44","5","198","64"
"ENSG00000166579.16","4912","4994","3565","7502","5430","4414","6576","5187","3805","2432","4583","3599","1085","1788","2140","1581","3528","5395","1092","1885","2121"
"ENSG00000166582.10","964","32","3319","139","1709","3654","1024","167","2944","7719","92","207","599","865","1056","758","612","939","457","1607","1600"
"ENSG00000166589.13","26","1138","20","489","13","36","22","17","141","30","763","1873","1","4","0","12","1","3","13","630","61"
"ENSG00000166592.12","726","11421","201","3039","322","2406","264","573","2358","190","5918","13085","19","29","60","99","227","1673","38","336","57"
"ENSG00000166595.12","2185","5430","2857","2657","5122","5870","1800","1890","2902","5118","2510","3451","578","859","998","939","879","1773","979","1960","2266"
"ENSG00000166596.15","105","14","11","21","12","33","59","10","12","25","15","4","7","9","9","5","4","13","2","143","28"
"ENSG00000166598.15","65096","45692","51073","12699","76816","75962","58203","47309","34901","91732","6410","15991","18789","27109","32281","24641","13801","37958","16915","45878","31734"
"ENSG00000166603.5","1","0","0","2","3","0","4","15","0","0","2","0","2","2","2","1","5","49","2","13","0"
"ENSG00000166619.15","8067","11090","3854","4758","5851","41812","6624","3845","5626","3938","3215","5721","1459","1973","2221","3834","1267","2564","1933","4613","4597"
"ENSG00000166634.6","0","14","0","352","4","3","46","26","44","1","1223","33","0","0","0","4","0","0","5","1","0"
"ENSG00000166664.14","11","0","32","1","3","30","15","5","75","25","3","1","31","48","88","78","52","36","23","43","77"
"ENSG00000166669.13","3072","1106","1586","367","2012","897","998","268","1064","2203","228","127","714","1386","887","850","494","552","425","2757","3491"
"ENSG00000166670.10","114","2980","141","161","6146","156","192","387","92","118","4","6","11","355","17","26","4","6","19","38","93"
"ENSG00000166676.17","41","59","61","52","93","61","86","43","101","51","34","37","32","50","117","81","62","149","43","273","86"
"ENSG00000166681.14","1041","2817","377","2480","614","230","3178","2743","606","202","1384","763","814","907","1443","1424","1831","4632","1148","194","84"
"ENSG00000166682.13","8","3","56","20","2357","46","93","6","39","1213","19","22","15","30","40","56","39","44","9","101","55"
"ENSG00000166685.12","2113","2365","1930","1597","2177","2897","1655","1573","2427","1753","1287","1016","1274","1287","2071","1911","1801","2982","1318","1413","1957"
"ENSG00000166689.16","6242","712","5554","11854","7624","14268","3519","190","9845","5701","8858","3191","1550","4498","3820","3223","1931","1912","2009","6969","6595"
"ENSG00000166693.7","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","9","0"
"ENSG00000166704.11","714","313","101","459","816","2165","970","358","628","354","310","213","370","485","677","810","414","952","412","577","33"
"ENSG00000166707.12","7","3","11","10","17","15","58","16","247","10","31","13","4","12","22","20","50","139","12","19","8"
"ENSG00000166710.21","111948","446441","176486","101287","258407","122552","36518","101313","235643","125368","31308","35127","37388","35353","94726","39823","49607","112701","60037","277518","116122"
"ENSG00000166716.10","7865","5185","8653","5033","5876","8286","9243","3464","6598","5043","3532","2923","1586","2749","3410","2641","3371","6678","1802","5721","11141"
"ENSG00000166734.20","12081","4500","11418","2055","10780","10250","5283","4055","5249","4750","1154","2027","3311","4834","6699","4671","5128","12040","3595","6972","16475"
"ENSG00000166736.11","6","0","73","3","87","19","5","38","101","2","159","27","2","36","23","4","25","30","6","47","2"
"ENSG00000166741.8","578","1381","629","332","972","846","273","9985","1557","227","386","1308","669","916","1693","614","3131","21179","369","281","180"
"ENSG00000166743.9","18","17","140","24","13","33","38","16","125","33","24","22","136","242","212","107","103","69","224","208","74"
"ENSG00000166747.13","15508","11513","12009","15660","19565","18659","15215","4513","10494","7720","7902","6432","4640","9423","9446","7691","6431","9511","5288","10271","17791"
"ENSG00000166750.10","4931","3955","5820","2147","11356","2212","14470","2439","4349","2592","1449","4048","739","1325","2521","1233","2081","8317","1295","2860","1647"
"ENSG00000166762.19","651","197","573","268","413","1152","555","109","398","345","114","41","130","289","331","277","209","304","125","1189","392"
"ENSG00000166763.8","86","15","150","33","49","17","123","25","58","40","19","7","7","26","45","27","13","5","8","248","55"
"ENSG00000166770.11","49","22","91","230","72","65","102","532","129","32","87","94","246","94","242","348","436","1339","57","137","20"
"ENSG00000166780.11","1101","193","581","274","519","528","476","1442","633","1146","274","440","305","676","761","588","2919","5821","347","923","250"
"ENSG00000166783.22","10226","5572","5879","6297","8183","11682","12849","6643","7720","6405","4077","2997","4481","6601","7466","8084","10025","16793","4498","11164","14432"
"ENSG00000166787.3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0"
"ENSG00000166788.10","606","855","846","342","982","1732","982","351","601","1152","226","458","253","337","342","418","206","495","211","578","663"
"ENSG00000166793.13","21","47","27","21","102","26","156","37","53","29","18","28","10","22","69","36","113","261","7","37","5"
"ENSG00000166794.5","5944","4272","6755","1950","4794","4443","2076","5447","4449","4821","1518","2212","1391","1469","1885","1603","922","3031","1258","3331","4603"
"ENSG00000166796.12","6","58","240","0","2","241","3","0","0","0","0","0","3","23","2","10","2","3","0","84","2"
"ENSG00000166797.11","2234","2528","3956","928","2479","2336","1515","844","2127","3198","577","1046","969","1378","1697","1550","659","921","1441","2520","2864"
"ENSG00000166800.10","52","5","23","12","25","58","46","16","35","17","11","15","8","20","41","24","14","35","9","99","57"
"ENSG00000166801.16","3661","3436","6318","1470","3778","4655","5067","1713","3688","5359","643","573","766","2501","2565","2290","1237","2930","914","4500","4457"
"ENSG00000166803.14","848","1631","917","417","696","908","1086","349","1006","1692","148","153","29","560","82","164","29","64","75","798","816"
"ENSG00000166813.16","334","161","114","119","546","253","2120","713","390","855","143","190","43","79","187","309","721","2357","32","223","466"
"ENSG00000166816.15","1055","623","1868","1534","600","613","307","132","2492","735","605","478","1094","2246","1965","1577","770","239","1819","1889","2376"
"ENSG00000166819.12","81","22","34","40","29","65","50","14","54","25","36","18","221","42","184","67","126","593","22","86","103"
"ENSG00000166821.9","1234","589","716","509","483","780","566","253","756","677","373","167","350","412","643","551","465","731","490","896","2153"
"ENSG00000166822.13","3835","1783","2010","984","5638","6761","2068","512","2240","1805","578","839","471","1092","1089","991","792","1903","673","3091","4761"
"ENSG00000166823.5","45","18","4","51","49","267","37","12","55","154","66","9","11","9","21","30","18","55","33","65","9"
"ENSG00000166825.15","311670","1055","5851","175","1080","97021","1531","571","91699","1215","93","96","140","130","553","270","211","2078","186","149332","58612"
"ENSG00000166828.3","156","1236","8","1222","292","4","940","186","311","8","1295","2134","747","854","4256","530","628","18","1932","65","8"
"ENSG00000166831.9","198","34","225","247","137","109","156","2863","365","171","417","889","644","2142","1475","1483","7112","20968","1791","65","38"
"ENSG00000166833.22","1984","2110","4491","6448","4952","2255","18525","4903","6010","2250","5116","4951","950","2137","2411","2703","4268","13825","1183","3628","8338"
"ENSG00000166839.17","168","255","104","379","310","283","223","274","207","112","179","195","468","166","432","436","594","755","191","271","109"
"ENSG00000166840.13","6","6","7","20","32","23","111","2","25","1","9","1","80","235","261","101","65","15","237","52","5"
"ENSG00000166845.15","182","378","688","212","368","961","1828","316","419","240","112","394","30","126","92","132","136","574","35","184","368"
"ENSG00000166847.10","9125","5557","6348","7126","6069","8972","7063","3605","4604","4338","4144","4156","1682","2764","2884","3011","3205","6364","2027","4210","6233"
"ENSG00000166848.7","2535","7364","2187","2791","5247","4428","3520","2480","2557","1889","1845","2061","1442","1600","2209","2240","2447","5897","1700","2003","2513"
"ENSG00000166851.15","4763","3275","8270","1244","4296","6887","5821","2627","3817","9733","664","915","97","1322","420","571","112","219","117","2866","2675"
"ENSG00000166855.9","3305","3746","4486","4687","5436","4634","3746","1659","3331","2853","2819","2770","1294","2373","2660","2511","1892","4239","1761","3359","5108"
"ENSG00000166856.3","2","8","6","5","9","13","15","20","12","2","10","12","2","12","11","8","8","22","3","22","3"
"ENSG00000166860.3","803","489","1571","615","2467","1845","3292","571","1161","1356","553","858","475","594","897","859","874","1902","391","969","1132"
"ENSG00000166862.7","1","2","1","3","4","7","3","0","8","8","2","0","3","2","4","5","17","3","5","29","4"
"ENSG00000166863.13","9","1","7","6","19","14","15","1","616","6","1","4","8","4","27","6","149","15","13","84","6"
"ENSG00000166866.13","1417","16","818","10","620","2587","57","2","5744","1448","2","54","333","970","1415","362","307","24","677","8655","2706"
"ENSG00000166869.3","3325","163","0","20","1","2904","87","68","122","102","5","1","0","1","6","2","2","4","0","807","1559"
"ENSG00000166881.10","3038","1268","3711","887","4300","3308","8773","919","2126","3723","591","359","391","1224","874","1352","1187","2134","429","1765","2213"
"ENSG00000166884.2","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","2","0","0","5","0"
"ENSG00000166886.13","3344","2773","2749","1114","1648","1699","3669","1360","997","1245","1167","1663","249","811","885","692","1086","2870","296","892","439"
"ENSG00000166887.16","8599","4840","7772","5917","7112","6892","6993","5320","5872","5340","3589","3452","2845","3689","5731","5341","5239","11852","2960","6084","10019"
"ENSG00000166888.12","31470","9766","29637","14822","24214","19827","26091","9361","18313","20147","12767","11564","4273","10401","11608","6624","11183","27743","5239","29374","12486"
"ENSG00000166889.14","7323","6862","15352","4419","13656","14834","8564","3438","6605","10942","2784","3534","1206","2189","2482","1993","2021","4345","1252","6133","13798"
"ENSG00000166896.9","211","394","468","340","466","271","472","225","255","524","236","145","129","89","208","200","144","198","105","285","239"
"ENSG00000166897.16","19","15","41","19","79","2405","23","37","49","1019","6","10","17","8","20","9","35","47","14","36","17"
"ENSG00000166900.17","6256","4070","14300","2782","8739","14365","2555","1263","6556","12253","1677","2004","1657","2740","2796","2107","1596","1839","2162","6384","14331"
"ENSG00000166902.5","2067","1605","2740","929","2326","2670","1197","890","1854","5123","756","973","1001","1383","1583","1544","930","1711","1301","1847","3002"
"ENSG00000166908.18","7216","7952","5696","3739","7056","7462","6824","2439","5407","7555","2612","4007","2159","4611","3870","3554","1974","2965","2921","3482","2278"
"ENSG00000166912.17","6577","1751","4086","7729","2963","3255","3283","1456","4485","2731","4855","1733","1265","2393","3086","2079","2719","5290","1607","2958","6261"
"ENSG00000166913.13","43749","41093","33665","37747","62597","125908","28713","21838","39187","43400","19874","22141","7137","15323","14486","12530","12565","29052","8206","50721","33809"
"ENSG00000166917.11","1","0","0","1","0","0","0","0","12","0","0","2","2","0","2","1","1","3","2","9","0"
"ENSG00000166920.13","1855","2098","1385","2597","1572","1467","833","28","3189","759","876","300","144","278","570","225","103","34","449","836","406"
"ENSG00000166922.8","2370","262","193","10","203","58","26","259","279","193","7","3","130","70","264","183","127","879","115","253","142"
"ENSG00000166923.12","169","2008","452","1386","3470","2351","1738","70429","3644","317","1049","1653","531","4630","5893","2692","30016","493141","767","508","122"
"ENSG00000166924.9","86","27","24","181","84","74","198","18","37","7","41","135","12","9","34","34","95","209","8","24","10"
"ENSG00000166925.9","3214","2898","4129","7325","7582","8843","6575","1707","3585","3200","5037","1873","983","1376","1899","1845","1158","3045","1271","2401","1981"
"ENSG00000166926.8","0","0","0","0","2","0","0","14","3","1","0","0","0","0","8","0","0","9","0","10","0"
"ENSG00000166927.13","209","235","515","117","1986","240","362","1068","1032","76","101","54","365","200","1782","221","598","4350","311","491","96"
"ENSG00000166928.11","29","21","129","59","203","9","74","175","73","13","26","17","11","20","205","25","28","528","26","90","6"
"ENSG00000166930.7","0","1","0","2","0","0","4","0","0","0","0","0","0","0","0","1","0","0","1","15","0"
"ENSG00000166938.13","1230","1200","2802","1319","2067","2431","3489","1024","1806","1418","989","1422","1211","1139","1321","1414","1863","2644","1154","1309","2794"
"ENSG00000166946.14","5373","2577","3120","4214","2795","1636","1978","1748","3213","1736","2840","1463","1456","2296","2765","2102","1689","2893","1931","3272","3922"
"ENSG00000166947.15","3","0","0","0","1","0","3","0","0","2","0","0","1","3","0","2","2","6","0","62","0"
"ENSG00000166948.10","2","0","1","5","46","0","3","1","27","0","1","618","0","1","0","0","0","0","0","33","0"
"ENSG00000166949.16","9833","10284","12660","9494","10417","11098","20573","4045","9745","4807","7345","12196","1735","4744","4176","2411","2429","5714","1897","8190","7581"
"ENSG00000166959.8","674","1","155","0","30","401","3","0","665","35","24","2","168","219","439","405","148","1","209","1030","709"
"ENSG00000166960.16","6","0","0","18","1","7","3","22","27","1","11","3","14","11","28","36","9","81","9","25","15"
"ENSG00000166961.15","255","126","6","1","3","17","9","1","0","1","0","1","0","1","3","4","1","0","2","15","6"
"ENSG00000166963.13","584","254","939","302","972","620","608","4287","1151","239","678","946","249","454","1533","472","6466","17418","181","418","250"
"ENSG00000166965.12","970","1034","1777","591","853","885","1928","617","715","1731","453","322","327","435","460","632","343","636","382","1071","1608"
"ENSG00000166971.17","1342","2515","1389","2560","2296","1971","1026","1143","1128","1660","1597","1670","588","601","793","906","1552","3262","554","1034","900"
"ENSG00000166974.13","1493","1928","9466","1376","2940","3291","3075","5206","5979","4891","957","5249","2385","4044","4218","3321","3155","10428","2648","3554","6178"
"ENSG00000166979.13","1668","322","2032","508","687","1173","888","2100","917","665","688","2010","813","726","1250","1037","1908","6916","669","545","1717"
"ENSG00000166984.12","5","1","0","0","3","15","0","0","5","15","2","0","0","4","2","1","1","0","0","28","2"
"ENSG00000166986.15","8354","1558","7281","3939","17714","9428","10083","2558","6451","10304","3390","4668","3810","2772","5243","3691","3624","4743","2653","3593","3051"
"ENSG00000166987.15","8286","2908","8818","4989","12029","8753","15059","2562","5406","7219","3553","3430","2023","3998","5049","4029","3018","5066","2447","7174","2189"
"ENSG00000166997.8","216","297","237","150","278","533","892","341","293","261","126","60","65","103","268","214","241","862","83","208","97"
"ENSG00000167004.13","98561","53005","57604","16179","36777","43814","24471","37501","46160","53980","10047","15632","15198","18178","22025","17818","9653","21847","12731","50770","46042"
"ENSG00000167005.14","9156","9417","8564","6002","14526","8654","12034","3712","6555","6459","3094","4321","1748","3213","3215","3700","4138","8123","1731","6497","8999"
"ENSG00000167011.9","3","9","3","0","4","12","8","0","1","1","0","0","13","0","9","9","5","4","0","36","1"
"ENSG00000167014.11","0","1","0","1","0","1","0","0","1","1","0","0","1","0","2","4","0","0","0","26","0"
"ENSG00000167034.10","52","412","104","72","290","509","1295","246","115","54","56","194","68","160","83","165","216","428","74","254","19"
"ENSG00000167037.19","1118","15","471","52","150","222","37","126","638","309","53","23","358","571","767","407","1255","1466","281","625","204"
"ENSG00000167046.4","21","34","35","669","136","19","11","4","119","18","258","39","12","15","22","14","22","10","6","37","78"
"ENSG00000167065.14","577","625","720","449","503","831","894","517","1058","847","322","278","148","379","311","282","234","526","268","1204","2124"
"ENSG00000167074.15","2188","571","764","2362","650","1523","4566","1694","2628","1049","706","1232","925","1032","909","3000","2967","2785","1536","1975","2690"
"ENSG00000167077.13","132","25","34","50","773","43","77","62","188","40","39","27","265","36","512","144","217","61","179","485","68"
"ENSG00000167080.9","48","11","1","16","2","18","141","5","6","17","23","3","961","3388","3116","5662","663","2","5740","149","37"
"ENSG00000167081.18","1224","1080","1030","1430","1269","774","866","1910","1349","934","1089","980","887","862","1342","1290","2919","5738","619","441","279"
"ENSG00000167083.7","20","28","44","28","68","20","23","49","80","28","30","6","18","16","40","31","23","47","26","49","17"
"ENSG00000167085.13","6425","4701","5462","2317","5355","6883","2584","2928","4675","12231","1853","2550","960","1664","1802","1584","1266","2795","1149","3455","4199"
"ENSG00000167088.11","6488","4109","6467","2094","9234","4652","3847","1702","3364","13198","1362","2918","791","1434","951","953","1042","1980","748","3772","2699"
"ENSG00000167094.16","8","1","11","4","16","11","4","4","13","2","2","1","12","12","47","54","19","11","23","86","16"
"ENSG00000167098.12","0","0","0","0","0","0","0","1","2","0","1","0","0","0","0","0","0","1","1","72","0"
"ENSG00000167100.15","128","45","410","32","263","221","104","261","312","66","39","23","25","53","95","60","696","468","49","70","56"
"ENSG00000167103.12","203","239","100","146","176","93","206","22","107","41","76","167","34","54","101","63","41","70","41","74","17"
"ENSG00000167104.11","1","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","14","0"
"ENSG00000167105.8","1765","927","1198","30","489","2948","74","122","636","294","18","23","861","1406","1141","819","443","38","976","937","600"
"ENSG00000167106.12","24102","3186","40076","33150","39088","15532","12365","4900","30560","10379","24307","9338","8332","20611","25289","10846","7971","8248","14331","9302","20177"
"ENSG00000167107.13","3894","1568","1085","726","1208","5902","978","310","1060","531","692","161","1080","1292","2331","2225","1068","534","2174","1577","1139"
"ENSG00000167110.18","8790","5733","7864","7541","8911","8993","6258","2475","5938","3111","5486","3886","3435","3240","5186","5016","4164","7736","3319","3478","8801"
"ENSG00000167112.10","2901","1895","3114","1864","2920","4030","2415","837","2309","2182","1313","1845","926","1301","1254","1324","925","1586","1066","1705","3427"
"ENSG00000167113.11","2433","1944","4909","3116","2974","4547","2874","1032","3889","2613","2903","2686","1466","1628","2172","2317","1377","1723","1581","2673","3588"
"ENSG00000167114.13","5533","7063","10144","8204","5704","12167","4948","1942","9116","5116","9317","9133","854","1698","1644","1205","1220","2539","1028","2943","7581"
"ENSG00000167117.10","161","3","56","2","135","642","2","2","1158","628","1","3","5","11","39","15","11","5","13","1136","133"
"ENSG00000167118.11","3795","2490","8468","2441","5797","6174","2403","2160","4903","3339","1444","2074","1434","2092","2251","1979","1594","3439","1645","2836","5512"
"ENSG00000167123.19","1218","1617","2332","1045","2200","2224","1364","6883","900","1192","354","360","930","456","2372","1187","2139","10397","551","344","168"
"ENSG00000167130.18","1319","1403","2641","1384","1591","2222","1003","395","2268","1824","1169","870","343","644","671","515","278","425","516","1273","1855"
"ENSG00000167131.17","1","0","0","8","0","0","2","0","0","2","0","0","0","1","0","1","0","0","0","4","0"
"ENSG00000167136.7","264","240","780","238","286","458","224","189","517","435","326","376","260","201","182","273","135","202","312","161","359"
"ENSG00000167139.9","1","0","11","0","0","0","2","0","0","1","0","0","0","0","0","0","1","0","0","24","0"
"ENSG00000167157.11","91","256","283","137","154","112","941","741","259","66","71","144","34","41","134","50","117","623","20","69","26"
"ENSG00000167165.19","811","1","465","72","58","728","120","0","56","52","23","40","11","51","128","26","7","5","80","290","483"
"ENSG00000167173.19","5679","6242","6737","7381","8099","6481","6303","3461","3995","4499","4670","2663","919","1710","2398","1328","1513","2815","1203","3408","3958"
"ENSG00000167178.16","28","20","11","70","15","138","193","181","68","41","16","17","53","60","132","113","247","251","41","55","74"
"ENSG00000167182.15","3685","4821","3482","3230","6846","7082","5371","1540","5280","4374","2292","2528","1267","2150","2276","1777","2540","4009","1293","2579","2826"
"ENSG00000167183.3","9563","616","6310","496","8628","12540","157","12","7642","6680","368","570","4664","4094","6047","5529","2264","85","5543","6294","8103"
"ENSG00000167186.11","1759","1208","1253","495","933","1752","1626","458","1002","1527","322","542","627","817","935","991","1135","1734","679","1145","1295"
"ENSG00000167191.12","19227","76","12907","390","7153","1763","2604","1075","3518","4220","257","446","2421","6574","5262","2715","1870","3064","2634","2983","5808"
"ENSG00000167193.8","9770","6520","9299","6259","8825","8971","8493","5267","7442","7691","3685","4903","2708","4955","4721","4125","4500","9094","3079","5473","5444"
"ENSG00000167194.7","0","0","1","0","1","2","2","0","2","0","0","0","0","0","2","0","0","0","0","40","0"
