"","TCGA-3L-AA1B-01A","TCGA-A6-6653-01A","TCGA-AA-3530-01A","TCGA-AA-3556-01A","TCGA-AA-3858-01A","TCGA-AA-A00D-01A","TCGA-AY-A71X-01A","TCGA-AZ-6599-01A","TCGA-CM-6676-01A","TCGA-D5-6530-01A","TCGA-A6-2678-11A","TCGA-A6-2680-11A","TCGA-A6-5665-11A","TCGA-AA-3511-11A","TCGA-AA-3522-11A","TCGA-AA-3655-11A","TCGA-AA-3660-11A","TCGA-AA-3712-11A","TCGA-AZ-6599-11A","TCGA-AZ-6603-11A"
"ENSG00000167136.7","148","112","122","123","352","180","169","193","71","44","263","198","65","126","263","160","141","174","225","47"
"ENSG00000167139.9","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"ENSG00000167157.11","31","117","4","19","160","35","7","4","52","638","45","45","34","48","45","52","72","42","192","86"
"ENSG00000167165.19","32","4","6","44","11","1","22","9","0","15","9","59","36","3","18","6","0","9","8","4"
"ENSG00000167173.19","2793","2405","1184","773","1717","579","2145","1484","2123","2739","3019","2113","1752","2854","3836","1841","1657","2449","2487","2423"
"ENSG00000167178.16","271","31","15","6","39","21","8","4","144","13","156","161","77","111","67","57","46","36","124","182"
"ENSG00000167182.15","1747","2039","515","726","867","427","1508","1170","2149","1994","2314","2194","1737","2147","3363","1440","1168","1875","2043","1550"
"ENSG00000167183.3","5528","8328","2854","13682","3748","2792","8728","3654","14085","5945","7722","15479","5393","5295","17592","8625","7661","7692","8131","5048"
"ENSG00000167186.11","783","913","426","556","340","309","1173","723","1132","872","1319","1159","801","1262","1998","1300","835","1079","1092","898"
"ENSG00000167191.12","431","432","149","86","200","147","299","101","276","145","955","524","349","473","672","407","320","436","1063","1351"
"ENSG00000167193.8","2403","3852","1870","1663","1086","1093","4652","4269","2669","4593","6030","5248","4559","4582","7103","5360","4056","5066","5638","4075"
"ENSG00000167194.7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"ENSG00000167195.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000167196.14","1456","1501","1018","639","593","269","2087","1032","965","984","1004","1165","648","952","1305","1033","777","804","1049","763"
