"","TCGA-A2-A0CQ-01A","TCGA-A2-A259-01A","TCGA-A7-A0CD-01A","TCGA-AN-A0FF-01A","TCGA-AR-A2LE-01A","TCGA-B6-A0IP-01A","TCGA-BH-A0B0-01A","TCGA-E2-A1IO-01A","TCGA-E9-A1R4-01A","TCGA-LD-A9QF-01A","TCGA-BH-A0BQ-11A","TCGA-BH-A0BS-11A","TCGA-BH-A0DO-11A","TCGA-BH-A0E0-11A","TCGA-BH-A0H9-11A","TCGA-BH-A1FH-11B","TCGA-E2-A1BC-11A","TCGA-E2-A1IG-11A","TCGA-E2-A1L7-11A","TCGA-E9-A1NA-11A","TCGA-E9-A1NG-11A"
"ENSG00000095464.10","51","23","28","24","14","40","30","9","24","15","50","30","56","3","3","8","7","13","18","12","12"
"ENSG00000095485.18","1262","1473","1760","1146","744","1714","956","1072","1219","1183","1252","1525","1307","792","587","1158","608","738","1107","897","1000"
"ENSG00000095539.15","257","261","297","257","116","531","113","408","333","74","260","484","535","217","45","161","50","129","213","236","67"
"ENSG00000095564.14","1110","4837","2239","1521","3248","3130","2327","3446","2433","2065","4699","3214","5186","1570","587","1598","1205","2354","3332","2803","2722"
"ENSG00000095574.12","1590","2553","2628","1985","1885","3430","985","1994","1098","927","1570","2515","2600","923","825","1377","1058","1178","1544","1429","1467"
"ENSG00000095585.17","1908","1110","1002","1262","426","1205","961","1327","1984","623","487","825","500","411","76","375","28","225","635","490","297"
"ENSG00000095587.9","26","26","40","11","28","68","86","110","131","47","19","9","32","9","7","4","14","6","13","13","13"
"ENSG00000095596.12","0","69","55","14","0","59","18","22","16","103","245","11","63","245","0","14","1","12","49","0","6"
"ENSG00000095627.9","172","13","97","9","22","46","59","78","4","19","59","33","38","26","6","9","8","64","58","29","46"
"ENSG00000095637.22","2245","3929","1861","2598","1825","4738","7930","4662","5032","781","10102","14672","13372","4822","38236","12849","21123","49929","6559","72214","73081"
"ENSG00000095713.14","63","76","45","23","40","55","67","28","20","33","351","1152","1651","123","60","304","71","320","305","421","123"
"ENSG00000095739.11","257","7379","2028","969","1299","9788","5498","14580","9320","688","1616","3087","3256","3978","194","1334","159","646","1431","1279","559"
"ENSG00000095752.7","142","167","14","50","12","27","40","67","40","63","42","18","16","24","0","18","1","10","31","19","8"
"ENSG00000095777.17","215","12","17","47","5","65","31","18","29","40","102","39","31","17","6","30","12","47","46","12","28"
"ENSG00000095787.23","7795","11921","12363","9264","8410","15110","6722","11927","9338","5871","10046","10482","12341","6960","4733","7552","5927","6862","9519","9144","8850"
"ENSG00000095794.19","1116","3143","1543","913","461","1098","861","831","1312","985","888","984","866","735","946","1531","426","750","1073","891","1504"
"ENSG00000095906.17","4799","4556","2708","2973","1334","4476","2307","3945","4563","2701","1142","2573","1566","3159","2369","958","1569","1336","2262","2219","1204"
"ENSG00000095917.14","28","707","152","385","30","167","147","72","9","0","4","9","18","6","0","199","77","0","10","1","51"
"ENSG00000095932.7","38","10","0","5","4","12","7","9","4","8","110","17","10","97","2","14","0","22","73","19","6"
"ENSG00000095951.17","982","4853","513","2076","1833","2276","1843","2191","2493","1501","4216","2285","2435","966","544","1318","889","1824","2981","2459","3013"
"ENSG00000095970.17","5347","492","784","2109","366","787","1101","733","1469","3422","442","875","565","725","51","356","11","551","611","433","424"
"ENSG00000095981.11","0","8","26","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","13"
"ENSG00000096006.12","54","15","28","3","0","31","112","19","254","5057","1681","197","24","752","0","91","1","4","246","18","3"
"ENSG00000096060.15","2538","2838","9400","2923","339","5035","2929","2577","2285","3074","17744","4779","2233","37098","3113","3150","36803","23628","19648","12363","6545"
"ENSG00000096063.16","867","2906","4059","1815","1526","2091","814","1195","2163","1328","1784","1541","1370","1046","368","934","340","903","1303","1255","1009"
"ENSG00000096070.19","1713","4601","7143","5304","3712","6569","2541","3731","4963","2128","3846","4656","4238","2145","816","2191","2008","2772","4049","4329","2190"
"ENSG00000096080.12","383","651","1293","682","363","733","313","471","664","465","356","710","497","855","472","429","698","344","505","393","309"
"ENSG00000096088.16","29","9","4","189","1","46","8","2","9","1","12","5","2","12","0","1","0","8","2","1","0"
"ENSG00000096092.6","1649","1302","3967","2463","1330","2061","930","1051","1246","589","1067","1483","1088","1192","751","1012","338","540","1046","824","676"
"ENSG00000096093.16","1769","1614","2155","1221","999","3539","656","1136","1642","725","1625","1502","1863","1218","373","836","376","757","1337","992","828"
"ENSG00000096264.14","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","2","0","1","0"
"ENSG00000096384.20","43591","122513","157505","84356","69331","76546","43262","66315","95585","45383","70315","98737","87639","88917","39543","47300","32626","44804","71268","63674","44649"
"ENSG00000096395.11","0","0","0","1","1","0","0","0","15","0","0","0","0","0","0","0","0","0","1","0","0"
"ENSG00000096401.8","2085","5018","8545","4975","2522","5089","2214","3597","3128","2293","4566","4858","4450","2884","1559","3145","1922","2899","4141","3082","3473"
"ENSG00000096433.11","2123","5304","12713","4720","7001","5997","2347","4367","8930","3428","5248","2932","4115","3606","630","1999","862","2428","4029","3720","1976"
"ENSG00000096654.15","428","904","2018","566","608","1311","409","630","744","431","609","750","844","520","240","394","194","268","594","575","424"
"ENSG00000096696.14","20443","98756","1715","92261","107295","50168","20395","22016","7667","13266","42608","52968","41917","43147","617","16500","791","19553","35551","25693","13994"
"ENSG00000096717.12","1857","2906","3244","2473","2504","3033","1799","2214","1482","907","2365","2866","2789","1471","1131","1960","2299","1905","2009","2047","2484"
"ENSG00000096746.17","5348","7552","7285","4878","4799","5900","3529","5587","5014","3898","4528","8210","6268","5252","3859","4142","3835","4124","6029","5312","5284"
"ENSG00000096872.17","2040","1736","1577","1518","936","1777","1047","826","605","467","1288","1437","1515","1010","339","1085","367","661","1185","1004","843"
"ENSG00000096968.14","739","2054","1334","1596","1638","1422","2387","1438","1390","1498","1379","1502","1587","855","860","1268","2093","1735","2041","2051","2425"
"ENSG00000096996.16","229","157","84","256","69","180","213","224","555","450","88","124","96","48","58","105","26","86","212","231","137"
"ENSG00000097007.19","4915","8883","7750","6706","4063","9235","7135","15068","7042","5602","7272","6544","6739","4644","3928","6355","4265","6524","7174","8886","9056"
"ENSG00000097021.20","1173","1856","1168","3241","459","1054","970","1086","3056","1722","828","838","488","1650","757","574","354","491","987","827","563"
"ENSG00000097033.14","8436","10170","8639","7182","6077","8477","10208","7796","5049","6724","8707","9946","10758","6116","10498","8620","8569","10024","7845","13414","15207"
"ENSG00000097046.13","1836","432","604","647","252","945","260","786","475","431","420","183","175","122","47","206","48","122","305","223","258"
"ENSG00000097096.9","428","2742","1219","1121","1393","596","258","2155","537","294","585","740","682","267","94","215","161","301","588","437","538"
"ENSG00000099139.14","246","669","477","413","235","453","678","1225","231","1145","975","728","745","448","1378","1097","1161","1677","1151","2410","3773"
"ENSG00000099194.6","11956","32575","51690","7995","40266","123263","43299","24573","26920","46494","13729","41434","49868","23947","190225","14768","120283","83692","9555","25763","42387"
"ENSG00000099203.7","505","369","579","365","179","483","335","426","352","404","185","540","279","422","315","171","318","261","480","399","285"
"ENSG00000099204.20","8503","10134","7813","7970","2938","12340","9454","8527","10079","4088","14766","14351","16382","7681","11765","15912","7598","15340","12921","20100","23252"
"ENSG00000099219.14","4628","9233","15457","5563","18760","9144","8679","6019","10820","2973","3845","3624","3738","3433","1094","1521","876","1675","4056","2434","2295"
"ENSG00000099246.17","8773","9686","9273","7157","7727","8768","4159","6571","6049","3576","5015","6667","6040","5051","3149","4301","4047","3925","5541","4534","5137"
"ENSG00000099250.18","2512","6051","5407","4799","3869","3583","7264","6043","3800","5561","7252","4899","6163","5640","11894","5887","8969","9827","9851","14957","21920"
"ENSG00000099251.14","116","47","295","146","212","315","47","94","157","58","199","98","115","29","26","33","29","51","77","64","42"
"ENSG00000099256.19","269","289","401","144","119","393","454","379","136","237","502","276","321","303","168","598","125","200","348","360","398"
"ENSG00000099260.11","676","1762","779","864","1171","1242","2842","1661","456","1688","2846","7759","5406","3149","13734","7768","6825","8842","4714","11823","17903"
"ENSG00000099282.10","20718","8784","6082","11336","4754","18265","16215","7454","8241","8355","2795","3802","2432","4576","6788","2519","3422","3432","3983","5561","6406"
"ENSG00000099284.15","288","583","170","2987","884","1913","1878","2569","1726","1425","1625","1891","1691","1954","299","1112","153","868","2039","1321","698"
"ENSG00000099290.17","1966","2993","3848","2130","1384","4107","2147","2055","1750","1852","2273","2978","2698","2129","603","1815","1046","1972","2726","1500","2560"
"ENSG00000099308.10","1091","870","784","911","672","1079","766","1562","1430","731","643","868","785","722","499","600","518","941","911","1446","693"
"ENSG00000099326.9","1926","1244","1185","878","913","1458","990","3987","1317","849","1324","733","1044","741","332","575","325","652","1169","889","446"
"ENSG00000099330.9","1787","1074","2127","1145","626","1378","1049","1016","1232","965","474","1030","652","1075","1315","610","762","825","681","879","778"
"ENSG00000099331.13","4680","5872","4938","5141","3386","6170","4961","7574","7206","7116","4067","4246","4594","2762","1554","3217","1555","3675","5646","5898","3910"
"ENSG00000099337.5","6993","3642","3500","4422","1220","3066","2053","3873","5029","2555","1561","903","915","2451","241","671","219","683","2185","1431","685"
"ENSG00000099338.23","679","263","530","449","265","387","261","128","289","149","227","296","205","112","35","92","47","79","318","165","70"
