"EnsemblID","GeneSymbol","Total_DEG","Total_Up","Total_Dn","RRA_Score_pvalue","padj","Rank","Category","log_p"
"ENSG00000078902.16","TOLLIP",1,0,1,1,1,4161,"Not_Significant",0
"ENSG00000083223.18","TUT7",1,0,1,1,1,4162,"Not_Significant",0
"ENSG00000188868.14","ZNF563",1,0,1,1,1,4163,"Not_Significant",0
"ENSG00000150527.17","MIA2",1,0,1,1,1,4164,"Not_Significant",0
"ENSG00000115109.14","EPB41L5",1,0,1,1,1,4165,"Not_Significant",0
"ENSG00000164074.15","ABHD18",1,0,1,1,1,4166,"Not_Significant",0
"ENSG00000239445.6","ST3GAL6-AS1",1,0,1,1,1,4167,"Not_Significant",0
"ENSG00000279317.2","AC006994.1",1,0,1,1,1,4168,"Not_Significant",0
"ENSG00000164172.20","MOCS2",1,0,1,1,1,4169,"Not_Significant",0
"ENSG00000132530.17","XAF1",2,1,1,1,1,4170,"Not_Significant",0
"ENSG00000121552.4","CSTA",1,0,1,1,1,4171,"Not_Significant",0
"ENSG00000157978.12","LDLRAP1",1,0,1,1,1,4172,"Not_Significant",0
"ENSG00000107897.20","ACBD5",1,0,1,1,1,4173,"Not_Significant",0
"ENSG00000104228.13","TRIM35",1,0,1,1,1,4174,"Not_Significant",0
"ENSG00000172936.16","MYD88",1,0,1,1,1,4175,"Not_Significant",0
"ENSG00000237310.2","GS1-124K5.4",1,0,1,1,1,4176,"Not_Significant",0
"ENSG00000265399.1","AP005329.2",1,0,1,1,1,4177,"Not_Significant",0
"ENSG00000156017.13","CARNMT1",1,0,1,1,1,4178,"Not_Significant",0
"ENSG00000163491.16","NEK10",1,0,1,1,1,4179,"Not_Significant",0
"ENSG00000008130.15","NADK",1,0,1,1,1,4180,"Not_Significant",0
"ENSG00000241360.2","PDXP",2,1,1,1,1,4181,"Not_Significant",0
"ENSG00000131791.8","PRKAB2",1,0,1,1,1,4182,"Not_Significant",0
"ENSG00000165156.15","ZHX1",1,0,1,1,1,4183,"Not_Significant",0
"ENSG00000268062.1","SRP14P4",1,0,1,1,1,4184,"Not_Significant",0
"ENSG00000182054.10","IDH2",2,0,2,1,1,4185,"Not_Significant",0
"ENSG00000174738.13","NR1D2",1,0,1,1,1,4186,"Not_Significant",0
"ENSG00000146904.9","EPHA1",1,0,1,1,1,4187,"Not_Significant",0
"ENSG00000181788.4","SIAH2",2,1,1,1,1,4188,"Not_Significant",0
"ENSG00000285693.1","AP002381.2",1,0,1,1,1,4189,"Not_Significant",0
"ENSG00000169919.17","GUSB",1,0,1,1,1,4190,"Not_Significant",0
"ENSG00000135297.16","MTO1",1,0,1,1,1,4191,"Not_Significant",0
"ENSG00000151729.11","SLC25A4",2,0,2,1,1,4192,"Not_Significant",0
"ENSG00000121101.16","TEX14",2,1,1,1,1,4193,"Not_Significant",0
"ENSG00000119688.21","ABCD4",1,0,1,1,1,4194,"Not_Significant",0
"ENSG00000016391.11","CHDH",1,0,1,1,1,4195,"Not_Significant",0
"ENSG00000162928.9","PEX13",1,0,1,1,1,4196,"Not_Significant",0
"ENSG00000100342.21","APOL1",1,0,1,1,1,4197,"Not_Significant",0
"ENSG00000005882.12","PDK2",1,0,1,1,1,4198,"Not_Significant",0
"ENSG00000113269.14","RNF130",1,0,1,1,1,4199,"Not_Significant",0
"ENSG00000139112.11","GABARAPL1",2,0,2,1,1,4200,"Not_Significant",0
"ENSG00000005187.12","ACSM3",1,0,1,1,1,4201,"Not_Significant",0
"ENSG00000169891.18","REPS2",2,1,1,1,1,4202,"Not_Significant",0
"ENSG00000270820.6","AC016727.1",1,0,1,1,1,4203,"Not_Significant",0
"ENSG00000116962.15","NID1",2,1,1,1,1,4204,"Not_Significant",0
"ENSG00000103528.17","SYT17",2,1,1,1,1,4205,"Not_Significant",0
"ENSG00000102543.14","CDADC1",1,0,1,1,1,4206,"Not_Significant",0
"ENSG00000102738.8","MRPS31",1,0,1,1,1,4207,"Not_Significant",0
"ENSG00000117640.18","MTFR1L",1,0,1,1,1,4208,"Not_Significant",0
"ENSG00000186654.21","PRR5",1,0,1,1,1,4209,"Not_Significant",0
"ENSG00000112414.15","ADGRG6",1,0,1,1,1,4210,"Not_Significant",0
"ENSG00000279948.1","AC008895.1",1,0,1,1,1,4211,"Not_Significant",0
"ENSG00000182853.12","VMO1",2,0,2,1,1,4212,"Not_Significant",0
"ENSG00000063587.15","ZNF275",1,0,1,1,1,4213,"Not_Significant",0
