"BRCA","CHOL","COAD","ESCA","HNSC"
"ENSG00000111404.7","ENSG00000106927.12","ENSG00000118733.17","ENSG00000170091.11","ENSG00000109794.13"
"ENSG00000231290.6","ENSG00000244067.3","ENSG00000172995.16","ENSG00000187922.14","ENSG00000108602.18"
"ENSG00000234235.1","ENSG00000158571.11","ENSG00000287281.1","ENSG00000112562.19","ENSG00000105388.16"
"ENSG00000228639.8","ENSG00000135447.17","ENSG00000015592.16","ENSG00000213069.3","ENSG00000091262.16"
"ENSG00000168309.18","ENSG00000132837.15","ENSG00000168079.17","ENSG00000164326.5","ENSG00000204542.3"
"ENSG00000179270.7","ENSG00000287933.1","ENSG00000135298.14","ENSG00000161896.12","ENSG00000158423.17"
"ENSG00000259129.6","ENSG00000131482.10","ENSG00000198049.7","ENSG00000122176.12","ENSG00000228541.1"
"ENSG00000237813.4","ENSG00000123453.18","ENSG00000182050.13","ENSG00000278989.1","ENSG00000108244.17"
"ENSG00000267122.1","ENSG00000005421.9","ENSG00000170091.11","ENSG00000262118.1","ENSG00000148346.12"
"ENSG00000231367.6","ENSG00000162365.12","ENSG00000091138.13","ENSG00000127083.7","ENSG00000189377.9"
"ENSG00000172137.19","ENSG00000066813.14","ENSG00000225383.8","ENSG00000234571.2","ENSG00000143412.10"
"ENSG00000266573.6","ENSG00000236117.1","ENSG00000133169.6","ENSG00000155816.20","ENSG00000065717.15"
"ENSG00000101280.8","ENSG00000145826.9","ENSG00000138650.9","ENSG00000104112.9","ENSG00000079385.23"
"ENSG00000229544.9","ENSG00000009724.17","ENSG00000183230.17","ENSG00000102452.18","ENSG00000253368.4"
"ENSG00000094963.14","ENSG00000286714.1","ENSG00000164106.8","ENSG00000139220.17","ENSG00000285873.1"
"ENSG00000272411.1","ENSG00000256020.1","ENSG00000184809.13","ENSG00000180210.15","ENSG00000173013.6"
"ENSG00000229246.2","ENSG00000250333.2","ENSG00000168060.16","ENSG00000280048.1","ENSG00000166816.15"
"ENSG00000259446.6","ENSG00000280587.1","ENSG00000112936.19","ENSG00000278967.1","ENSG00000168309.18"
"ENSG00000168874.13","ENSG00000109758.9","ENSG00000036672.16","ENSG00000155428.12","ENSG00000143416.21"
"ENSG00000287609.1","ENSG00000261058.1","ENSG00000235140.2","ENSG00000133116.8","ENSG00000257017.9"
"ENSG00000225472.2","ENSG00000187048.13","ENSG00000239205.1","ENSG00000189292.16","ENSG00000189143.9"
"ENSG00000181195.11","ENSG00000151948.12","ENSG00000108381.11","ENSG00000174944.9","ENSG00000149260.18"
"ENSG00000258545.6","ENSG00000188338.15","ENSG00000169181.13","ENSG00000255350.1","ENSG00000225028.1"
"ENSG00000101542.10","ENSG00000224916.9","ENSG00000132915.11","ENSG00000205929.11","ENSG00000230825.2"
"ENSG00000225194.3","ENSG00000138207.14","ENSG00000007306.15","ENSG00000181234.9","ENSG00000263155.6"
"ENSG00000280429.1","ENSG00000228291.1","ENSG00000225398.3","ENSG00000267461.1","ENSG00000115255.12"
"ENSG00000009950.16","ENSG00000198610.11","ENSG00000013293.6","ENSG00000197599.12","ENSG00000166920.13"
"ENSG00000143125.6","ENSG00000250436.1","ENSG00000232175.1","ENSG00000065609.14","ENSG00000188277.10"
"ENSG00000232821.1","ENSG00000277526.5","ENSG00000156959.9","ENSG00000141338.14","ENSG00000124107.5"
"ENSG00000167614.14","ENSG00000151726.15","ENSG00000165462.5","ENSG00000053918.18","ENSG00000141854.9"
"ENSG00000287666.1","ENSG00000139344.8","ENSG00000185149.6","ENSG00000152779.14","ENSG00000183742.13"
"ENSG00000255960.1","ENSG00000226622.6","ENSG00000162461.8","ENSG00000279976.1","ENSG00000149654.11"
"ENSG00000250266.2","ENSG00000271992.1","ENSG00000120057.5","ENSG00000139055.7","ENSG00000091137.14"
"ENSG00000146678.10","ENSG00000235310.1","ENSG00000277586.4","ENSG00000104435.14","ENSG00000137501.17"
"ENSG00000248869.7","ENSG00000288669.1","ENSG00000111732.11","ENSG00000231777.1","ENSG00000145864.14"
"ENSG00000229312.2","ENSG00000121871.4","ENSG00000078549.15","ENSG00000185818.8","ENSG00000196352.16"
"ENSG00000228695.10","ENSG00000253525.1","ENSG00000092009.10","ENSG00000176563.10","ENSG00000159212.13"
"ENSG00000189367.15","ENSG00000100652.5","ENSG00000036828.17","ENSG00000251008.1","ENSG00000189283.10"
"ENSG00000182253.15","ENSG00000257817.2","ENSG00000122756.15","ENSG00000249867.6","ENSG00000178821.13"
"ENSG00000123838.11","ENSG00000143257.12","ENSG00000271615.1","ENSG00000244968.7","ENSG00000138771.16"
"ENSG00000073734.10","ENSG00000117009.12","ENSG00000279756.1","ENSG00000185345.23","ENSG00000172478.18"
"ENSG00000158516.12","ENSG00000251637.6","ENSG00000170482.17","ENSG00000144891.18","ENSG00000112699.11"
"ENSG00000238099.3","ENSG00000261978.1","ENSG00000164107.9","ENSG00000248923.1","ENSG00000070193.5"
"ENSG00000087494.16","ENSG00000284743.1","ENSG00000080493.18","ENSG00000159409.15","ENSG00000225526.5"
"ENSG00000104044.16","ENSG00000111181.12","ENSG00000172901.20","ENSG00000210144.1","ENSG00000215045.8"
"ENSG00000153303.17","ENSG00000144908.14","ENSG00000030304.14","ENSG00000230916.2","ENSG00000246375.3"
"ENSG00000172318.5","ENSG00000203900.2","ENSG00000269404.7","ENSG00000270350.1","ENSG00000186352.9"
"ENSG00000224958.6","ENSG00000007001.13","ENSG00000179796.12","ENSG00000169302.16","ENSG00000120756.13"
"ENSG00000179921.15","ENSG00000160868.15","ENSG00000156395.13","ENSG00000255203.1","ENSG00000025039.15"
"ENSG00000286214.1","ENSG00000233445.1","ENSG00000186912.6","ENSG00000166432.15","ENSG00000156049.7"
"ENSG00000102290.22","ENSG00000228445.1","ENSG00000147256.12","ENSG00000162482.5","ENSG00000144460.12"
"ENSG00000157064.11","ENSG00000233569.2","ENSG00000130055.14","ENSG00000128606.13","ENSG00000168447.11"
"ENSG00000166091.21","ENSG00000179577.3","ENSG00000147262.4","ENSG00000244734.4","ENSG00000262188.2"
"ENSG00000171596.7","ENSG00000137561.5","ENSG00000146352.13","ENSG00000268043.7","ENSG00000171476.22"
